full_text_final_entire,type_taegyoon,type_drew,stance_taegyoon,stance_drew,stance_final,stance_binary_pro_rest_taegyoon,stance_binary_pro_rest_drew,stance_binary_anti_rest_taegyoon,stance_binary_anti_rest_drew
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,COVID-19,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Tetanus,Tetanus,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
